geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
'01'000'001002,NA,NA,NA,林泉里,4,丁守中,NA,'1,58,Y,*,1276,64.71,1972,31,2003,2812,71.23,'01,'000,'01,'001,'0026
'01'000'001002,NA,NA,NA,林泉里,5,楊烈,NA,'1,60,N,NA,602,30.53,1972,31,2003,2812,71.23,'01,'000,'01,'001,'0026
'01'000'001002,NA,NA,NA,中心里,1,張育憬,NA,'2,42,N,NA,100,2.68,3734,45,3779,5154,73.32,'01,'000,'01,'001,'0027
'01'000'001002,NA,NA,NA,中心里,2,張志傑,NA,'1,30,N,NA,46,1.23,3734,45,3779,5154,73.32,'01,'000,'01,'001,'0027
'01'000'001002,NA,NA,NA,中心里,3,鄭光照,NA,'1,57,N,NA,11,0.29,3734,45,3779,5154,73.32,'01,'000,'01,'001,'0027
'01'000'001002,NA,NA,NA,中心里,4,丁守中,NA,'1,58,Y,*,2053,54.98,3734,45,3779,5154,73.32,'01,'000,'01,'001,'0027
'01'000'001002,NA,NA,NA,中心里,5,楊烈,NA,'1,60,N,NA,1524,40.81,3734,45,3779,5154,73.32,'01,'000,'01,'001,'0027
'01'000'001002,NA,NA,NA,中庸里,1,張育憬,NA,'2,42,N,NA,61,2.22,2745,30,2775,3674,75.53,'01,'000,'01,'001,'0028
'01'000'001002,NA,NA,NA,中庸里,2,張志傑,NA,'1,30,N,NA,31,1.13,2745,30,2775,3674,75.53,'01,'000,'01,'001,'0028
'01'000'001002,NA,NA,NA,中庸里,3,鄭光照,NA,'1,57,N,NA,7,0.26,2745,30,2775,3674,75.53,'01,'000,'01,'001,'0028
'01'000'001002,NA,NA,NA,中庸里,4,丁守中,NA,'1,58,Y,*,1388,50.56,2745,30,2775,3674,75.53,'01,'000,'01,'001,'0028
'01'000'001002,NA,NA,NA,中庸里,5,楊烈,NA,'1,60,N,NA,1258,45.83,2745,30,2775,3674,75.53,'01,'000,'01,'001,'0028
'01'000'001002,NA,NA,NA,開明里,1,張育憬,NA,'2,42,N,NA,70,1.76,3974,64,4038,5285,76.4,'01,'000,'01,'001,'0029
'01'000'001002,NA,NA,NA,開明里,2,張志傑,NA,'1,30,N,NA,29,0.73,3974,64,4038,5285,76.4,'01,'000,'01,'001,'0029
'01'000'001002,NA,NA,NA,開明里,3,鄭光照,NA,'1,57,N,NA,13,0.33,3974,64,4038,5285,76.4,'01,'000,'01,'001,'0029
'01'000'001002,NA,NA,NA,開明里,4,丁守中,NA,'1,58,Y,*,2366,59.54,3974,64,4038,5285,76.4,'01,'000,'01,'001,'0029
'01'000'001002,NA,NA,NA,開明里,5,楊烈,NA,'1,60,N,NA,1496,37.64,3974,64,4038,5285,76.4,'01,'000,'01,'001,'0029
'01'000'001003,NA,NA,NA,中和里,1,張育憬,NA,'2,42,N,NA,76,2.31,3284,40,3324,4245,78.3,'01,'000,'01,'001,'0030
'01'000'001003,NA,NA,NA,中和里,2,張志傑,NA,'1,30,N,NA,28,0.85,3284,40,3324,4245,78.3,'01,'000,'01,'001,'0030
'01'000'001003,NA,NA,NA,中和里,3,鄭光照,NA,'1,57,N,NA,10,0.3,3284,40,3324,4245,78.3,'01,'000,'01,'001,'0030
'01'000'001003,NA,NA,NA,中和里,4,丁守中,NA,'1,58,Y,*,1944,59.2,3284,40,3324,4245,78.3,'01,'000,'01,'001,'0030
'01'000'001003,NA,NA,NA,中和里,5,楊烈,NA,'1,60,N,NA,1226,37.33,3284,40,3324,4245,78.3,'01,'000,'01,'001,'0030
'01'000'001003,NA,NA,NA,智仁里,1,張育憬,NA,'2,42,N,NA,90,2.32,3878,44,3922,5007,78.33,'01,'000,'01,'001,'0031
'01'000'001003,NA,NA,NA,智仁里,2,張志傑,NA,'1,30,N,NA,40,1.03,3878,44,3922,5007,78.33,'01,'000,'01,'001,'0031
'01'000'001003,NA,NA,NA,智仁里,3,鄭光照,NA,'1,57,N,NA,12,0.31,3878,44,3922,5007,78.33,'01,'000,'01,'001,'0031
'01'000'001003,NA,NA,NA,智仁里,4,丁守中,NA,'1,58,Y,*,2280,58.79,3878,44,3922,5007,78.33,'01,'000,'01,'001,'0031
